"104_Grande Plaine Nord bis";4455983.67885541;30741786.5886319;11772144.7387102;1664333.31694987;0;59322.280013374;0;0;0;343173.090121506;2872247.24051991;18243691.5483799;0;0;0;0;2988676.86335748;389130.782032701;1833789.7134435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;890216.019476579;0;0;0
"104_Grande Plaine Sud";2774803.81455453;31872001.0112518;11682044.8827016;1533032.6544514;0;156388.449913533;0;0;0;765836.889727297;2680795.06332088;17053728.9726733;0;0;0;0;4954984.98901158;4537.33852113112;2136464.32692962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;631671.654794911;0;0;0
"1042_Gerland Berge";3029529.23404973;36399827.4630695;21521468.6226459;1402381.89431697;1875328.50957148;0;0;0;0;1203019.77532963;291110.410052404;0;0;1009918.07234495;0;969800.182640574;2097590.96764476;2669931.0692436;595625.675894283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3196171.58064743;0;0;0
"1042_Megaphorbiaie";3652762.99061351;36635837.2908945;21326560.6519345;1428160.78511347;1930717.88223317;0;0;0;0;1284593.8015787;254102.795881789;0;0;767503.434699724;0;969800.182640574;1909723.74811913;2259603.73755473;503798.935075452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3318932.44439201;0;0;0
"105_PDBSE AUTOUR DU PLAN D'EAU";972649.608752944;34721262.9075816;8795691.29701263;0;0;8029273.62363156;308265.735976236;348361.530872869;0;1764018.17259337;2398206.26070146;299756.841167117;791820.522331316;0;0;3991085.60172442;5494645.84327114;833659.486954507;929206.882107484;1705616.00816751;4045348.71079307;0;0;0;826325.916703152;0;0;0;0;0;0;0;0;0;0;0;0
"105_PDBSE DEPUIS L'ENTREE VERS LE PLAN D'EAU";808554.963211723;34151893.7154434;8950652.97503874;0;0;8052083.26599044;308265.735976236;348361.530872869;0;1767054.10111255;2347513.35515044;334654.574486741;766300.775199783;0;0;4023357.05896848;5541914.35425402;841365.20416093;950198.169600683;1783790.15342081;4341668.43718358;0;0;0;932108.77185123;0;0;0;0;0;0;0;0;0;0;0;0
"105_PDBSE NOUVELLES PLANTATIONS";1036259.41136928;34914031.1953467;8807554.46421239;0;0;7988975.47939996;308265.735976236;348361.530872869;0;1778812.16125029;2445060.39600003;250591.306675391;776187.700632883;0;0;3969825.0981465;5559912.34353518;804791.559977622;931872.011621531;1635235.25471762;3966275.13249064;0;0;0;740157.829471343;0;0;0;0;0;0;0;0;0;0;0;0
"1054_Prairie centrale";441267.120280289;25917166.5090367;2477697.67337264;296502.626146979;0;0;0;0;0;1737290.22220376;3874886.10132831;2394028.09300701;0;0;0;469066.079508771;3141804.07182161;590152.783412815;32577922.2023968;0;0;0;0;0;208261.350847322;0;0;0;0;0;0;0;0;1569245.76424223;515735.934511572;0;0
"1056_Pépinière SEDIF";6005784.1643891;50279748.1553997;9880635.67187927;2746580.94519562;0;0;0;0;0;5824520.91748575;1336459.93184666;0;0;0;0;0;202022.88450949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"106_PDR PRAIRIE BOUCLE";3399350.51534213;38611641.4058566;9692979.23434752;0;0;6756453.60031734;51545.7058873669;348361.530872869;0;1698576.30267514;3402387.94837931;0;915995.545619676;0;0;3170015.6355718;3439047.95559421;533546.404431242;907888.780050554;836282.347209017;2486743.48982687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1063_Gabriel rosset";5935516.72913878;36000814.5191024;19513952.7432013;1266302.4701123;2008366.13638356;0;0;0;0;1494904.39946201;974191.876636781;0;0;439245.38293937;0;969800.182640574;2009225.77050623;1518397.08999799;860279.881526276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3257172.3341752;0;0;0
"1064_Clos Layat Espace à vivre";6016074.33424387;33574348.0052258;25259726.8624016;1511862.96955832;2254579.49739995;0;0;0;0;1332115.34051441;1619403.84157781;733289.014274029;0;0;0;0;107057.001851661;19156.6734895512;92901.8643816946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3773351.91108742;0;0;0
"107_PDC UGF1 DAGUIN";7282740.48670875;38743704.3824791;11264624.0921531;0;0;5166537.01266752;0;348361.530872869;0;1717477.76061751;2897216.75385829;0;1710613.91160403;0;0;2150062.34513557;2016578.64267388;648807.97705846;817385.705897817;258685.69686682;1163222.13454527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"107_PDC UGF2 ADR";6670313.83295153;38865132.3178284;10904520.9761718;0;0;5552098.1842032;0;348361.530872869;0;1664507.1073531;2978429.52447658;0;1698552.56293081;0;0;2303718.41545235;2156343.16947995;648807.977058495;883612.789779402;295323.858992858;1264986.93915904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"107_PDC UGF4 BRUYERES";6305219.63257584;39056079.2025966;10629866.1171282;0;0;5734531.3593297;0;348361.530872869;0;1565677.57535394;3022842.50388674;0;1640510.1472991;0;0;2541330.36179343;2225717.47602937;612288.164861034;907123.030114887;332172.316121732;1343663.23772914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1072_le verger";8519266.95117608;44101104.3235823;13918017.6831111;2839676.31939265;0;0;0;0;0;3665576.06288579;569305.914409744;0;0;0;0;0;892094.930219821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1622360.11776103;152897.421977861;0;0
