"1199_LISSIERE1";423502.796188277;2536440.61955713;187838.322888392;0;0;0;0;0;0;0;0;0;0;0;0;39368.999493828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1199_prairie--rucher";399648.099853676;2541669.09250285;197615.799254174;0;0;0;0;0;0;0;0;0;0;0;0;49724.8768771607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1199_prairie-rucher";391467.492228439;2541250.59893997;200355.415796949;0;0;0;0;0;0;0;0;0;0;0;0;55373.5814321657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1206_Parc de la Marine";1134825.38264939;872222.370469312;0;0;975068.214590437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203481.527179787;0;3120.87307251368
"1208_227";395317.152369283;265043.604311943;2347498.20089974;180472.971314539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1209_Vieux Cimetière";64304.1645920649;2608798.05425785;286709.054729584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;227411.943740867;0;0;0
"1210_Parc des Couronnes";1033948.9785859;1768316.32543595;81198.7069291105;16327.8161372586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;288797.001927974;0;0;0
"1216_Parc Georges-Brassens Sadal Suud";2613101.03755996;0;354169.246420042;220470.164627951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1217_Talus Française et Rocaille";1256873.28654344;1781123.66007;23738.9741263356;0;0;0;0;0;0;123848.165101001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1226_1";1296308.37372913;48497.440686406;1841754.84226214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"123_Parc Chazière";421803.840566194;1211372.89333005;1054958.00273873;0;0;0;0;0;0;122639.012618261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;374353.838299476;0;0;0
"1236_TEST";91685.750105492;978625.519491128;608862.776559718;0;0;0;0;0;0;0;223835.745773495;0;0;0;0;0;0;1286599.66897345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"125_JB Alpin";1011864.01031675;958442.802146937;144005.141354059;0;0;0;0;0;0;0;1070098.12108075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"125_PTO Jardin Botanique 1";787492.47615221;1115168.44462203;241357.332452803;0;0;0;0;0;0;0;1043205.32860497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"125_Pto Jardin Botanique 2";803413.462804924;1018380.36320199;238298.679962351;0;0;0;0;0;0;0;1126318.83021379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1260_Square Virginia Woolf";1972575.28313681;611141.280487492;498764.922171607;0;0;0;0;0;0;105754.507174543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"128_Citadelle 1 Lille";852022.751547959;803250.574858558;159279.210943804;0;0;0;0;0;0;1092788.57702526;281802.31483858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"128_Citadelle 2 Lille";206628.299721738;1345575.27909755;106443.700799855;0;0;0;0;0;0;1257893.79160804;273041.48870448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1301_Coteau stade";261734.73250707;2887414.67209944;0;39152.2352980229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1314_prairie sud";51725.4217743398;2753399.03738942;0;0;0;0;0;0;0;382579.019711735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1317_Citadelle";258801.365704044;2671006.88215597;0;0;2926.40047989054;0;0;0;0;0;0;25803.1995618555;0;0;0;0;0;0;0;0;0;0;0;0;77289.7621899545;0;0;0;0;0;0;0;0;152336.965434597
"1318_Terre Saint Roch";99420.1042371712;1303910.91478226;6073.0449646408;626062.032864805;0;0;0;0;0;0;0;631085.166989181;0;0;522002.105919309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1319_chemin vert";275088.639707455;1292601.55013944;0;494226.946388256;0;0;0;0;0;0;0;599753.025598494;0;0;526593.793480788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1321_Transect Propage Berges de Seine";394485.733822894;2306647.39122406;189356.106772436;0;0;0;0;0;0;0;4089.10038454425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;293805.499979284;0;0;0
"1322_Transect Propage Jardin aux papillons";346985.71697052;2291359.70677435;303234.129466717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246545.962309612;0;0;0
"1323_Jardin des Tournelles";4954.55766330546;2676586.9274267;355841.771207754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150104.609074039;0;0;0
"1331_Cimetière Sud";2071279.74927266;0;0;0;0;0;0;0;0;589255.526369669;525709.378328238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1332_Jardin Alexandra David Neel";2039149.94842469;147513.239452723;508472.068694936;0;0;0;0;0;0;493733.375774934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1336_Jardin du Rosaire 1";1347646.74195258;571844.582511855;413075.559168159;0;0;0;0;0;0;439864.153886993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;414319.459918379;0;0;0
