"id_transect";"1";"2";"3";"4";"5"
"291_Talus des berges terrain de sport Chamars";2798977.75494621;403.206018230892;388669.384779897;0;0
"296_Fort Beauregard";2536477.7857707;88443.051260064;394771.480897355;0;169055.254466652
"297_Chemin de Vareilles";2047142.92914263;170389.177519891;971965.415934602;0;0
"299_Quais des Sports";2350827.41867139;0;0;0;832161.79960658
"30_Balbi";2649651.57195912;0;538201.807432479;0;0
"300_Jardin des Lumières";2439181.8722039;0;0;0;744592.061840039
"304_Jardin des Barrières";3183682.5638856;0;0;0;0
"305_Chartreuse";3183596.67409425;0;0;0;0
"306_chemin vert";2066926.84265884;1122305.7457795;0;0;0
"307_plaine hagueneau";3139391.40061559;48074.8798980412;0;0;0
"31_Les Mortemets";2574300.27688728;0;613320.378872074;0;0
"310_Essai 2";2962420.28392102;0;0;0;226075.025542748
"310_parc montsouris vivaces s2";3187730.75231974;0;0;0;0
"314_Goëlette Maria";2421615.22303733;484807.468238282;281069.076540152;0;0
"321_hêtre pourpre";3187220.77855123;0;0;0;0
"321_rocher monceau";3185916.84334312;0;0;0;0
"323_Jardin du Verger";3188865.3858671;0;0;0;0
"327_Transect 01 - BB W11 (G Ravissot)";3114214.91299703;0;0;0;74573.8139411821
"327_Transect 02 - BB V11 (G Ravissot & JY Vieville)";3048629.05277589;0;0;0;138981.51346429
"327_Transect 03 - BB S01 (G Ravissot)";2994092.89554943;0;0;0;193078.052667803
"327_Transect 04 - BB F05 (J Schleiffer)";3042586.8663809;0;0;0;143698.836927109
"327_Transect 07 - BB O05 (E Sohier)";2825551.89586976;0;0;0;360763.929313794
"327_Transect 08 - BB M01 (S Mullemans)";2985022.20741871;0;0;0;200661.549946066
"327_Transect 09 - BB B06 (B Foucard)";2897157.41061992;0;0;0;291065.844235366
"327_Transect 12 - BB V02 (G Ravissot & JY Vieville)";3130766.6219486;0;0;0;55997.6673543229
"327_Transect 13 - BB L05 (A. Labonde)";2921599.73528602;0;0;0;265456.437947179
"327_Transect 14 - BB Q12/Q01 (I Bogner & P Savary)";2876901.14938851;0;0;0;311035.335591454
"327_Transect 15 - BB F05 (F Bernard)";3036884.45102587;0;0;0;149767.543765689
"327_Transect 16 - BB L08 (JP Rizzi)";3033273.1434874;0;0;0;153758.503980847
"327_Transect 17 - BB O06 (S Ravaut)";2829054.5256998;0;0;0;358821.980769759
"331_Langevin";2928165.67037177;0;0;0;258239.982336382
"332_Arènes bois";2971274.12314458;0;0;0;216843.95113059
"332_Arènes prairie";2925140.72306293;0;0;0;262036.405199052
"34_1 square Carnot";3186166.4798481;0;0;0;0
"34_10 reserve ornithologique";3186096.56985273;0;0;0;0
"34_11 prairie sud reserve ornithologique";3187648.82855819;0;0;0;0
"34_15 parc floral quatre saisons";3188826.73649244;0;0;0;0
"34_17 parc floral iris";3189689.86788691;0;0;0;0
"34_18 parc floral prairie derriere les tacots";3187582.80313665;0;0;0;0
"34_2 ile de Bercy massif de vivaces";3189148.11243441;0;0;0;0
"34_21 parc floral jardin de l'évolution";3186714.85802606;0;0;0;0
"34_22 prairie ouest esplanade Saint Louis";3187243.05020123;0;0;0;0
"34_24 île de Saint Mandé";3186977.76888054;0;0;0;0
"34_25 prairie Brasserie";3185204.04296017;0;0;0;0
"34_28 Allée Royale 2";3187625.75394558;0;0;0;0
"34_29 bord du lac de Saint Mandé";3188285.94009255;0;0;0;0
"34_3 ile de Bercy  pelouse";3188301.83002138;0;0;0;0
"34_30 PF jardin des petits pas";3186431.43159396;0;0;0;0
"34_31 prairie Daumesnil";3188680.81695811;0;0;0;0
"34_32 plateau Bel Aire";3187243.40500124;0;0;0;0
"34_4 ile de Reuilly pelouse";3187829.91130683;0;0;0;0
"34_5 plaine du bac prairie";3185980.11793736;0;0;0;0
"34_9 plaine nord fort neuf";3187048.66171571;0;0;0;0
"34_Lisière sous bois vers les 2 ponts";3186450.02953058;0;0;0;0
"344_Avenue du Peuple Belge";3189164.65274178;0;0;0;0
"345_Jardin d'eau prairie";3188680.08903672;0;0;0;1544.75259279993
"346_boisement samain";2445438.96924013;742885.19207475;0;0;0
"349_Jardin des plantes carrés botaniques";2956876.10791824;0;232846.217235934;0;0
"349_JDP";2973514.92764406;0;216947.277870136;0;0
"349_JDP AOUT";2973304.06383644;0;216707.506797421;0;0
"349_JDP JUILLET";2972114.48568041;0;218102.202406728;0;0
"356_Linas";1761374.78548754;826781.617101333;600764.363521737;0;0
"360_liaison poterne citadelle";3188124.8408713;0;0;0;0
"361_Val Caron Prairie";3186689.47428551;0;0;0;0
"37_Jardin Pédagogique";2777832.27649726;412317.051333815;0;0;0
"375_27 jeu de boule de Saint Mandé";3188437.71634693;0;0;0;0
"375_JN";3188738.96794154;0;0;0;0
"378_Voie verte-véloroute Dunkerque";1786311.84281703;1161459.78630006;152281.312711157;89411.7466045;0
"382_Mare Plaine Churchill Lille";3189514.71641643;0;0;0;0
"382_Plaine Churchill Gazon Lille";3189017.97297317;0;0;0;0
"382_Plaine Churchill Talus Lille";3190294.39027807;0;0;0;0
"383_Boulevard Lorraine Lille";3188713.04979192;0;0;0;0
"383_Boulevard Moselle Lille";3190238.76633069;0;0;0;0
"394_Parc Augustin Laurent Lille";3189249.27643447;0;0;0;0
"396_Moulin des Gibets";3190101.26132435;0;0;0;0
"4_Prairie fleurie";3187051.51208365;0;0;0;0
"425_berges de la Deûle Lille";3187040.25228833;0;0;0;0
"427_Cachin 1";3187954.71610002;0;0;0;0
"43_GRECIM0100";2803796.63546925;0;47028.8384646765;0;336087.124247937
"43_GRECIM0200";2746635.61972832;0;208276.800965137;0;231276.380774793
"43_GRECIM0300";2738675.35924171;0;151892.995718984;0;293961.417788948
"430_Réserve foncière Thomas Lemaître";3190305.39953468;0;0;0;0
"434_Grand Rond";3165964.25168386;0;0;0;17801.5806437054
"434_Jardin des plantes";3055307.45898675;0;0;0;130380.542673188
"434_Jardin Royal";3042357.20700189;0;0;0;143004.965639131
"436_Monplaisir";3185881.87586692;0;0;0;0
"436_Musée Labit";3182850.20284085;0;0;0;0
"439_Glissoire plan d'eau Lens";3151386.92618597;37836.5087416761;0;0;0
"44_GS Henry Wallon";3188412.63192651;0;0;0;0
"44_GS Wallon";3186405.68743692;0;0;0;0
"448_impasse virel Lens";3180287.75131265;7367.55439573834;0;0;0
"462_LTPAR0100";2801759.28431613;0;0;0;385371.527718965
"47_GS A.France";2932646.99050641;172252.860568902;0;0;81737.7653375396
"47_GS Anatole France";2934335.4439437;171910.999152237;0;0;81141.9014217122
"470_Jardin de Brascassat";3183652.2816148;0;0;0;0
"471_Parc Rivière";3183875.24412164;0;0;0;0
"472_Cimetière (C)";3186798.27697074;0;0;0;0
"472_Circonscription Père Lachaise (B)";3188767.8322346;0;0;0;0
"472_mur jardin Naturel (A)";3188354.46225334;0;0;0;0
"472_Pelouse de l'ossuaire";3186169.94753074;0;0;0;0
"472_Pelouse funéraire (D)";3187624.24598074;0;0;0;0
"472_Propage pelouse de l'ossuaire";3186587.11772445;0;0;0;0
"475_Parc Matisse Talus Lille";3188289.54695872;0;0;0;0
"476_Parc Matisse Gazon Lille";3187541.03743252;0;0;0;0
"484_Jardin de la Béchade";3171304.58421125;12074.5661073341;0;0;0
"488_Parc aux Angéliques";2286315.20163645;0;0;0;898700.352335474
"49_prairie audigeois";3119883.08419014;68262.8141880076;0;0;0
"490_Jardin des Dames de la Foi";3183416.34549738;0;0;0;0
"491_Jardin de la Visitation";3182845.39700763;0;0;0;0
"494_Parc Bordelais";3184129.09150037;0;0;0;0
"495_Jardin Public";2948673.7264758;0;0;0;235274.002204778
"496_tr1";2905796.56614389;0;0;0;279906.452290959
"496_tr2";2991205.17064752;0;0;0;193571.202471122
"496_tr3";2919148.25318361;0;0;0;265409.024051236
"496_tr4";2788684.67241486;0;0;0;397014.275786728
"498_JMG 1";3187405.11663615;0;0;0;0
"498_JMG 2";3188318.08814009;0;0;0;0
"50_Entrée Stade Léo Lagrange Lens";3188606.01591202;0;0;0;0
"50_Prairie Stade Léo Lagrange Lens";3045189.35738297;134807.017447281;8794.73695266391;0;0
"50_Stade Léo Lagrange plaine";3065855.99631263;120202.533536995;3304.9902557808;0;0
"50_Stade Léo Lagrange terrain";3188278.57589122;0;0;0;0
"50_Talus rocade Stade Léo Lagrange Lens";3080131.73682312;107644.978015723;0;0;0
"507_traversee";2854335.28056289;0;0;0;331645.461031189
"509_prairie des filtres";2576421.1736371;0;0;0;609376.913482385
"513_leon salagnac";3187308.06046959;0;0;0;0
"516_JS";3188040.97736965;0;0;0;0
"517_square severine";3186235.52997983;0;0;0;0
"523_Abbe Picard";3101263.78833616;0;87790.4286186246;0;0
"528_SM1";2739308.26075362;0;1718.69445324324;0;445819.692815323
"528_SM3";2782499.18823738;7369.70337866712;62736.9562524981;0;335184.837906774
"528_SM4";2494993.87446638;0;205695.157868283;0;486357.505030082
"528_SM5";2553994.22469924;0;0;0;633173.891024266
"528_Sm6";2778742.30000169;0;1930.87231936474;0;404079.25098246
"529_SM2";2481041.90242371;0;236368.216054132;0;470390.127422535
"543_transect 3";3187819.16659691;0;0;0;0
"545_transect 2";3186998.62000843;0;0;0;0
"546_transect1";3188336.74972342;0;0;0;0
"56_Belvédère des Glissoires";3143982.61260918;44405.3360018451;0;0;0
"56_Belvédère glissoire Lens";3146005.0666155;42940.6543264254;0;0;0
"570_Arr-F-5";2871990.3179935;190143.115403938;125245.919214965;0;0
"580_emmanuel Fleury";3187876.37955889;0;0;0;0
"584_2";3186690.74533746;0;0;0;0
"585_A";3185080.34675705;0;0;0;0
"587_Espaces7";3044909.25664325;0;0;0;142570.253032854
"588_Espaces5";3071675.84019984;0;0;0;116596.465984626
"589_Halages1";3187542.02405653;0;0;0;0
"590_3";3187574.05314386;0;0;0;0
"590_4";3188130.31973038;0;0;0;0
"591_Espaces8";2999675.69127067;0;0;0;187225.546992796
"592_Espaces6";3058942.07572348;0;0;0;127544.146818712
"600_Espaces1";3188319.11538297;0;0;0;0
"600_Espaces2";3189628.67526351;0;0;0;0
"602_6";3186906.80997899;0;0;0;0
"603_1";3188489.55978122;0;0;0;0
"606_vieux cimetiere";2954070.37842177;0;0;0;232757.547943055
"607_freudenstadt";2987111.57938117;0;0;0;200727.811081112
"608_pleiades";2936401.00498539;0;0;0;252215.543133464
"609_INterfaces1";3186296.66005043;0;0;0;0
"609_Interfaces2";3186556.59223919;0;0;0;0
"609_Interfaces3";3186048.80808655;0;0;0;0
"609_Interfaces4";2921649.60381779;0;0;0;266322.831375468
"610_Halages3";3186530.06612988;0;0;0;0
"611_Halages2";3188264.58033759;0;0;0;0
"612_7";3187372.72212332;0;0;0;0
"613_5";3188680.01870607;0;0;0;0
"615_Espaces3";3187827.27096638;0;0;0;0
"616_8";3188011.15214356;0;0;0;0
"62_Bois Dubrusle Calais";3061714.01833283;126577.126867692;0;0;0
"62_citadelle";2551276.65056064;0;230288.780473793;111203.73313982;295046.368731873
"62_terre saint-roch";2031099.06317861;1158715.55863678;0;0;0
"632_MNHN";2894930.04792046;0;0;0;292216.546476839
"637_Parc des Tuileries";2878008.5916667;0;0;0;311291.65718516
"638_Jardin Luxembourg";3188433.56479731;0;0;0;0
"639_BNF";2898029.69388635;0;0;0;290370.73228654
"644_Jardin Gare de Chanrenne A";3188252.78896122;0;0;0;0
"645_pf";3186167.04612326;0;0;0;0
"646_BM";2959967.37047981;0;0;0;227612.408827365
"648_Chise 2";2361614.79966322;480759.544746117;20069.1204348578;0;324792.721703816
"666_Parc Chambovet";3185109.6866048;0;0;0;0
"67_Promenade talus rocade Lens";2928467.18967041;120150.881257032;139040.337465526;0;0
"67_Promenade talus rocade rue des Mésanges";2926765.66825121;117256.799622795;143486.224924695;0;0
"67_Promenade Talus Rocade rue des Mésanges";2927058.40310828;117658.925635245;143145.525880662;0;0
"68_Plaine Laloux";2950583.26725194;48665.2839440719;191113.527997234;0;0
"689_Blandan 1 Front forestier";3185655.10349897;0;0;0;0
"729_1";3188362.49254317;0;0;0;0
"73_cimetière Miséricorde 1 (sans pesticides)";3186096.33021641;0;0;0;0
"73_cimetière Miséricorde 2 (avec pesticides)";3187248.336984;0;0;0;0
"73_Ile de Versailles";3184111.19901218;0;0;0;0
"73_parc des capucins";3186697.2326353;0;0;0;0
"739_prarie till";2858798.29493259;328218.027170871;0;0;0
"74_Cité des hauts pavés";3187305.81994837;0;0;0;0
"773_Jardin audigeois";3111687.3413938;72818.6639426915;0;0;0
"80_abords du ccas";3185985.92882662;0;0;0;0
"80_ecole lermite";3186474.28590853;0;0;0;0
"80_Mémorial de l'esclavage";2905701.15762276;0;0;0;279967.262661738
"80_place bretagne";3107176.91577653;0;0;0;78979.3403934894
"80_place rene bouhier";2905017.96286232;0;0;0;281396.439856405
"80_reserve conservatoire";3176500.16281697;0;0;0;9568.10188763679
"80_reserve maurice sybille";2984548.81221175;0;0;0;201894.706652853
"80_reserve pied de la tour de bretagne";3148648.85398842;0;0;0;39172.2572222109
"80_reserve rue de gigant";3035470.24536925;0;0;0;150397.863346817
"80_square cherreau";3179395.65342053;0;0;0;6572.8710866866
"80_square louis bureau";3170682.12709038;0;0;0;14397.9719293834
"80_terrasse ccas";3186347.04443338;0;0;0;0
"80_zac de gigant";3004248.92522816;0;0;0;180825.504662092
"81_boulevard doumergue";2655256.35968855;0;0;0;531676.188111161
"81_boulevard doumergue 2";2670744.46572794;0;0;0;514154.111653776
"81_carre de fleurs jardin des plantes";3136140.87948835;0;0;292.771362694632;49949.4723156386
"81_flore armoricaine jardin des plantes";3132535.63828422;0;0;3190.25072977021;51041.585556889
"82_Cité des congrès";2800730.86483997;0;0;4346.56975651377;379319.995044175
"82_Quai Doumergue";2696828.97333752;0;0;0;489198.737693666
"82_quai magellan";2802386.95088367;0;0;0;383226.261971939
"82_Square Daviais";2940914.28441612;0;0;0;246031.088922595
"829_Pto Roseraie 2";2815700.52401512;0;0;0;370863.084022366
"84_pigeonnier";3186078.67152844;0;0;0;0
"898_Parc arboré";3187888.11186994;0;0;0;0
"90_GREFRI2BASMUR";1825234.31585014;0;1359581.72065045;0;0
"90_GREFRI2BASTEL";1807212.34066394;0;1376297.36250028;0;0
"91_GREPAR5CHAV";3123754.8708056;0;0;0;62806.3439371109
"91_GREPAR5DECHET";3146926.57656139;0;0;0;38104.083706273
"91_GREPAR5HALA";2900447.94733363;0;0;0;283333.534953121
"91_GREPAR5JDINALPIN";3028008.40944983;0;0;0;158096.905467928
"91_GREPAR5JDINPAR";2936194.68541684;0;0;0;245743.618469895
"91_GREPAR5KIRIL";2990806.64636133;0;0;0;195251.130885589
"91_GREPAR5MAIRIE";3068558.82074914;0;0;0;117066.713403723
"91_GREPAR5MEDAIL";3097365.59250544;0;0;0;88018.1791620338
"91_GREPAR5PTITRAIN";3126220.80454263;0;0;0;60649.6847542958
"93_GREPAR2MICHAL";2404492.29428468;0;621344.897780547;0;161867.553591138
"94_LTCIM0100";2794783.09232156;0;0;0;391435.422730096
"94_LTCIM0200";2805857.27698025;0;10349.7992624563;0;368887.17970525
"94_LTCIM0300";2832104.41457067;0;0;0;353847.082273751
"95_GREPAR2JDP";3072351.20331004;0;20.3017677624704;0;115563.664644839
"95_GREPARJDPMU";3046751.05727718;0;0;0;138843.008007887
"950_désiré préaux";3188602.79345178;0;0;0;0
"959_Avenue magasins généraux";3187447.4034542;0;0;0;0
"969_Cerisaie 2";2803314.76250907;0;0;0;382757.499412934
"969_Parc de la Cerisaie";2784469.0781314;0;0;0;402538.109642555
"97_Jardin de l'Observatoire";3184083.56259225;0;0;0;0
"97_Terre Cabade";3186486.90394619;0;0;0;0
"990_PTO vélodrôme";2825956.00575428;0;0;0;358759.611998436
"1_Cormailles - Long rue Ledru Rollin";3070148.69339656;0;0;0;118146.663361346
