"Amaryllis","Argus vert","Azuré des nerpruns","Azuré porte-queue","Belle-Dame","Brun des pélargoniums","Carte géographique","Citrons","Demi-Deuil et Echiquiers","Flambés","Gazé","Grand Nacré et Tabac d'Espagne","Grande Tortue","Machaons","Mars changeants","Myrtil","Paon du jour","Petites Tortues","Procris","Robert le diable","Silène","Souci","Tircis","Tristan","Vulcain"
0,0,0,0,0,0,0,0,1.17911609365403,0,0,0,0,0,0,0,0,0,1.17911609365403,0,0,0,0,1.17911609365403,0
0,0,0,0,0,0,0,0,3.32045355159029,0,0,0,0,0,0,1.1068178505301,0,0,4.42727140212038,0,0,1.1068178505301,1.1068178505301,0,0
2.00353744199486,0,2.00353744199486,2.00353744199486,0,0,0,0,27.0477554669307,0,0,1.00176872099743,0,0,0,5.00884360498716,0,0,0,0,0,0,1.00176872099743,0,0
0,0,0,0,0.411783284089305,0,0,0,0,0,0,0,0,0,0,0.82356656817861,0,0,1.64713313635722,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629615187212106,0,0,0.629615187212106,0,0,0,0,0,0.629615187212106
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629615187212106,0,0,0,1.25923037442421,0,0,0,0,0.629615187212106
0,0,0.48320117445739,0,0,0,0,0,0.48320117445739,0,0,0,0,0,0,0,0,0,0.48320117445739,0,0,0,0,0,0
8.16384522617291,0,0,0,0.816384522617291,0,0,0.816384522617291,1.63276904523458,0,0,0,0,0,0,0.816384522617291,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8.16384522617291,0,0,0,0,0,0,0.816384522617291,0.816384522617291,0,0.816384522617291,0,0,0,0,0,0
2.44915356785187,0,0,0,0,0,0,0,1.63276904523458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816384522617291,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869319442540785
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344715666872265,0,0.344715666872265,0,0,0,2.06829400123359,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.473996105794823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36998052897411,0,0,0,0,0,0,5.68795326953787,0,13.271890962255
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9985883717285,0,0,1.33317648574761,0,0,0,0.333294121436903,0,0
0,0,0,0,0,0,0,0,16.7937585290577,0,0,0,0,0,0,0,0,0,2.58365515831657,0,0,0,0,0,0
5.16731031663314,0,0,0,0,0,0,0,3.87548273747486,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58365515831657,0,0
8.84685370115898,0,3.31757013793462,0,0,0,0,0.552928356322437,0,0,0,0,0,0,0,18.2466357586404,0,0.552928356322437,0,0,0,0,1.65878506896731,0,1.10585671264487
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1823789826702,0,0,0,0,0,0,0,0,0.54559474566755
8.18392118501325,0,2.1823789826702,0,0,0,0,0,0,0,0,0,0,0,0,2.1823789826702,0,0,0,0,0,0,1.63678423700265,2.1823789826702,3.2735684740053
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2735684740053,0,0,0,0,0,0.54559474566755
4.91035271100795,0,0,0,0,0,0,0.54559474566755,0,0,0,0,0,0,0,0.54559474566755,0,0.54559474566755,0,0,0,0,0,0,0
1.0911894913351,0,0,0,0.54559474566755,0,0,0,0,0,0,0,0,0,0,7.6383264393457,0,0,0,0,0,0,0,2.72797372833775,0
