"id_transect_annee","transect_coordonnees","transect_type_prairie","transect_paturage_prairie","transect_rythme_fauchage_prairie","amendements","semis_sursemis","duree","longueur_transect","geometry"
"1159_Transect 2021_2021","{""type"": ""LineString"", ""coordinates"": [[0.125175, 49.488175], [0.124928, 49.488203], [0.124729, 49.488924]]}","Prairie sans distinction","Non pâturée","Fauche précoce","[""espaces-verts.amendements.aucun""]","Non",1860,99.5612173638262,c(0.124944, 49.488434)
"115_CTE PRAIRIE MARCEL DASSAULT_2018","{""type"": ""LineString"", ""coordinates"": [[-0.68891683212437, 44.84732924018827], [-0.6881175338310888, 44.84739769972633]]}","Prairie semée","Non pâturée","Plusieurs fauches","[]","Oui",1500,63.4716167785564,c(-0.68851718297773, 44.8473634699573)
"115_CTE PRAIRIE MARCEL DASSAULT_2020","{""type"": ""LineString"", ""coordinates"": [[-0.68891683212437, 44.84732924018827], [-0.6881175338310888, 44.84739769972633]]}","Prairie semée","Non pâturée","Plusieurs fauches","[]","Oui",1500,63.4716167785564,c(-0.68851718297773, 44.8473634699573)
"115_CTE PRAIRIE MARCEL DASSAULT_2021","{""type"": ""LineString"", ""coordinates"": [[-0.68891683212437, 44.84732924018827], [-0.6881175338310888, 44.84739769972633]]}","Prairie semée","Non pâturée","Plusieurs fauches","[]","Oui",1800,63.4716167785564,c(-0.68851718297773, 44.8473634699573)
"115_CTE PRAIRIE MARCEL DASSAULT_2022","{""type"": ""LineString"", ""coordinates"": [[-0.68891683212437, 44.84732924018827], [-0.6881175338310888, 44.84739769972633]]}","Prairie semée","Non pâturée","Plusieurs fauches","[]","Je ne sais pas",900,63.4716167785564,c(-0.68851718297773, 44.8473634699573)
"1161_Transect 2021_2021","{""type"": ""LineString"", ""coordinates"": [[0.165199, 49.495501], [0.164485, 49.495452], [0.164941, 49.495762]]}","Prairie sans distinction","Non pâturée","Non fauchée","[""espaces-verts.amendements.aucun""]","Non",1800,99.5276342658903,c(0.164875, 49.4955716666667)
"1165_Transect 2021_2021","{""type"": ""LineString"", ""coordinates"": [[0.181331, 49.513519], [0.180622, 49.514292]]}","Prairie sans distinction","Non pâturée","Fauche précoce","[""espaces-verts.amendements.aucun""]","Non",1860,100.040415776921,c(0.1809765, 49.5139055)
"1167_Transect 2021_2021","{""type"": ""LineString"", ""coordinates"": [[0.182929, 49.514153], [0.182897, 49.515051]]}","Prairie sans distinction","Non pâturée","Non fauchée","[""espaces-verts.amendements.aucun""]","Non",1860,99.8799217372164,c(0.182913, 49.514602)
"116_PP1_2019","{""type"": ""LineString"", ""coordinates"": [[4.810597672410106, 45.63101406748123], [4.811069741197211, 45.631876839470785], [4.811297785988102, 45.63217529377873]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[]","Non",1200,140.344906237094,c(4.81098839986514, 45.6316887335769)
"116_PP1_2020","{""type"": ""LineString"", ""coordinates"": [[4.810597672410106, 45.63101406748123], [4.811069741197211, 45.631876839470785], [4.811297785988102, 45.63217529377873]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[]","Non",2820,140.344906237094,c(4.81098839986514, 45.6316887335769)
"1170_Transect 2021_2021","{""type"": ""LineString"", ""coordinates"": [[0.135925, 49.508149], [0.135614, 49.507661], [0.13549, 49.50802]]}","Prairie sans distinction","Non pâturée","Fauche précoce","[""espaces-verts.amendements.aucun""]","Non",1860,99.6367411332876,c(0.135676333333333, 49.5079433333333)
"1173_Transect 2021_2021","{""type"": ""LineString"", ""coordinates"": [[0.167913, 49.516903], [0.167548, 49.517203], [0.167333, 49.517157], [0.167194, 49.517269], [0.167258, 49.517492]]}","Prairie sans distinction","Non pâturée","Non fauchée","[""espaces-verts.amendements.aucun""]","Non",1860,100.068427468617,c(0.1674492, 49.5172048)
"117_GP1_2019","{""type"": ""LineString"", ""coordinates"": [[4.811957609397971, 45.63523613531236], [4.812593292938163, 45.63604070377015], [4.812654983743171, 45.63744913963532]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[]","Non",1800,258.893072158664,c(4.81240196202643, 45.6362419929059)
