"Amaryllis","Argus vert","Azuré des nerpruns","Azuré porte-queue","Belle-Dame","Brun des pélargoniums","Carte géographique","Citrons","Demi-Deuil et Echiquiers","Flambés","Gazé","Grand Nacré et Tabac d'Espagne","Grande Tortue","Machaons","Mars changeants","Myrtil","Paon du jour","Petites Tortues","Procris","Robert le diable","Silène","Souci","Tircis","Tristan","Vulcain"
0,0,3,0,0,0,0,2,10,1,0,0,0,0,0,18,0,0,2,2,0,0,1,0,0
0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12,0,0,0,3,0,0,1,0,2
0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,1,0,0,2,0,0,1,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10,0,0,1,2,0,1,2,0,0
1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,2,0,0,1,3,0,0
1,1,0,0,0,0,0,0,19,0,0,0,0,0,0,15,1,0,11,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,1,21,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,17,0,1,6,0,0,4,1,0,0
9,0,0,0,1,0,1,1,33,0,0,0,0,0,1,19,1,0,6,1,0,0,0,0,0
0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,11,0,0,10,0,0,1,2,0,0
0,0,1,0,0,0,0,2,13,0,0,0,0,0,0,5,1,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,0,2,0,0,0
0,0,0,0,0,0,0,0,9,1,0,0,0,0,4,5,2,0,1,6,0,0,0,0,2
0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,2,0,0,1,0,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,6,0,0,2,0,4
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,1,0
1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,4,0,0,0,0,1,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,8,0,0,0,0,0,2
